,column,evaluation_method,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_kernel,param_probability,params,split0_test_accuracy,split1_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_train_accuracy,split1_train_accuracy,mean_train_accuracy,std_train_accuracy,split0_test_precision_weighted,split1_test_precision_weighted,mean_test_precision_weighted,std_test_precision_weighted,rank_test_precision_weighted,split0_train_precision_weighted,split1_train_precision_weighted,mean_train_precision_weighted,std_train_precision_weighted,split0_test_recall_weighted,split1_test_recall_weighted,mean_test_recall_weighted,std_test_recall_weighted,rank_test_recall_weighted,split0_train_recall_weighted,split1_train_recall_weighted,mean_train_recall_weighted,std_train_recall_weighted,split0_test_f1_weighted,split1_test_f1_weighted,mean_test_f1_weighted,std_test_f1_weighted,rank_test_f1_weighted,split0_train_f1_weighted,split1_train_f1_weighted,mean_train_f1_weighted,std_train_f1_weighted,split0_test_mrr,split1_test_mrr,mean_test_mrr,std_test_mrr,rank_test_mrr,split0_train_mrr,split1_train_mrr,mean_train_mrr,std_train_mrr
0,0,"SVC-split_x_y_split_with_bag_of_words-{'C': [1e-05, 0.01, 1.0, 100.0, 10000.0, 1000000.0], 'kernel': ['linear'], 'probability': [True]}-(4 of 5)",3.338683009147644,0.36379826068878174,4.557161331176758,0.2638862133026123,1e-05,linear,True,"{'C': 1e-05, 'kernel': 'linear', 'probability': True}",0.3231939163498099,0.34794520547945207,0.33508887425938116,0.012366305783630403,5,0.34794520547945207,0.3231939163498099,0.33556956091463097,0.012375644564821098,0.10445430756552791,0.12106586601613811,0.11243747917115361,0.008299511603897821,5,0.12106586601613811,0.10445430756552791,0.11276008679083302,0.0083057792253051,0.3231939163498099,0.34794520547945207,0.33508887425938116,0.012366305783630403,5,0.34794520547945207,0.3231939163498099,0.33556956091463097,0.012375644564821098,0.15788208557318298,0.1796302483572781,0.1683338030401938,0.010865875704962875,5,0.1796302483572781,0.15788208557318298,0.16875616696523055,0.010874081392047555,0.5016136641205917,0.5396876839360151,0.5199112509969966,0.019022644395748075,6,0.5652033135834118,0.5376909247857474,0.5514471191845796,0.013756194398832189
1,0,"SVC-split_x_y_split_with_bag_of_words-{'C': [1e-05, 0.01, 1.0, 100.0, 10000.0, 1000000.0], 'kernel': ['linear'], 'probability': [True]}-(4 of 5)",9.761325001716614,1.1407030820846558,4.9812047481536865,0.12769055366516113,0.01,linear,True,"{'C': 0.01, 'kernel': 'linear', 'probability': True}",0.3231939163498099,0.34794520547945207,0.33508887425938116,0.012366305783630403,5,0.34794520547945207,0.3231939163498099,0.33556956091463097,0.012375644564821098,0.10445430756552791,0.12106586601613811,0.11243747917115361,0.008299511603897821,5,0.12106586601613811,0.10445430756552791,0.11276008679083302,0.0083057792253051,0.3231939163498099,0.34794520547945207,0.33508887425938116,0.012366305783630403,5,0.34794520547945207,0.3231939163498099,0.33556956091463097,0.012375644564821098,0.15788208557318298,0.1796302483572781,0.1683338030401938,0.010865875704962875,5,0.1796302483572781,0.15788208557318298,0.16875616696523055,0.010874081392047555,0.5134727567311581,0.5562312603732789,0.5340216096993926,0.02136311883067495,5,0.5901574656123608,0.5716897870469622,0.5809236263296615,0.00923383928269933
2,0,"SVC-split_x_y_split_with_bag_of_words-{'C': [1e-05, 0.01, 1.0, 100.0, 10000.0, 1000000.0], 'kernel': ['linear'], 'probability': [True]}-(4 of 5)",11.255652666091919,1.0935475826263428,4.6643208265304565,0.5182796716690063,1.0,linear,True,"{'C': 1.0, 'kernel': 'linear', 'probability': True}",0.40430925221799746,0.43561643835616437,0.41935483870967744,0.015641780716219352,1,0.958904109589041,0.9556400506970849,0.957272080143063,0.001632029445978067,0.32224580601423775,0.36677884851607057,0.34364746567607973,0.022249718718430032,4,0.9585825393530875,0.9509369354219396,0.9547597373875135,0.003822801965573941,0.40430925221799746,0.43561643835616437,0.41935483870967744,0.015641780716219352,1,0.958904109589041,0.9556400506970849,0.957272080143063,0.001632029445978067,0.3476696849516078,0.3905724458565431,0.36828786497833776,0.021435193033118718,1,0.9558858215152982,0.9513646053925942,0.9536252134539462,0.002260608061352032,0.5160384678456023,0.5569885233963242,0.5357182180444351,0.020459577121193753,1,0.6562635225399375,0.6094649659658907,0.6328642442529141,0.023399278287023373
3,0,"SVC-split_x_y_split_with_bag_of_words-{'C': [1e-05, 0.01, 1.0, 100.0, 10000.0, 1000000.0], 'kernel': ['linear'], 'probability': [True]}-(4 of 5)",11.31437885761261,1.547721028327942,4.958247065544128,0.2428675889968872,100.0,linear,True,"{'C': 100.0, 'kernel': 'linear', 'probability': True}",0.3688212927756654,0.4095890410958904,0.38841342988808425,0.020368492291345755,2,0.9876712328767123,0.9898605830164765,0.9887659079465945,0.0010946750698820895,0.32326642552425106,0.36714330979888277,0.34435274910587127,0.02192188717650456,1,0.987004946635936,0.9849598547464327,0.9859824006911844,0.0010225459447516516,0.3688212927756654,0.4095890410958904,0.38841342988808425,0.020368492291345755,2,0.9876712328767123,0.9898605830164765,0.9887659079465945,0.0010946750698820895,0.3352340406410148,0.38159883739268396,0.3575160035302304,0.023164904713603614,2,0.9864450332830714,0.9870301391008052,0.9867375861919383,0.00029255290886687213,0.5124840509739705,0.5582702498820016,0.5344879517000157,0.02287582409955151,4,0.6660963499344013,0.617590446630855,0.6418433982826282,0.024252951651773103
4,0,"SVC-split_x_y_split_with_bag_of_words-{'C': [1e-05, 0.01, 1.0, 100.0, 10000.0, 1000000.0], 'kernel': ['linear'], 'probability': [True]}-(4 of 5)",11.354781866073608,0.9874563217163086,4.5506590604782104,0.1378873586654663,10000.0,linear,True,"{'C': 10000.0, 'kernel': 'linear', 'probability': True}",0.3688212927756654,0.4095890410958904,0.38841342988808425,0.020368492291345755,2,0.9876712328767123,0.9898605830164765,0.9887659079465945,0.0010946750698820895,0.32326642552425106,0.36714330979888277,0.34435274910587127,0.02192188717650456,1,0.987004946635936,0.9849598547464327,0.9859824006911844,0.0010225459447516516,0.3688212927756654,0.4095890410958904,0.38841342988808425,0.020368492291345755,2,0.9876712328767123,0.9898605830164765,0.9887659079465945,0.0010946750698820895,0.3352340406410148,0.38159883739268396,0.3575160035302304,0.023164904713603614,2,0.9864450332830714,0.9870301391008052,0.9867375861919383,0.00029255290886687213,0.5133872218366439,0.5596403113031928,0.5356155005137873,0.023109093218742868,2,0.6674752372999899,0.6118634316122487,0.6396693344561193,0.027805902843870633
5,0,"SVC-split_x_y_split_with_bag_of_words-{'C': [1e-05, 0.01, 1.0, 100.0, 10000.0, 1000000.0], 'kernel': ['linear'], 'probability': [True]}-(4 of 5)",10.996893048286438,0.8933924436569214,3.2646065950393677,0.28907954692840576,1000000.0,linear,True,"{'C': 1000000.0, 'kernel': 'linear', 'probability': True}",0.3688212927756654,0.4095890410958904,0.38841342988808425,0.020368492291345755,2,0.9876712328767123,0.9898605830164765,0.9887659079465945,0.0010946750698820895,0.32326642552425106,0.36714330979888277,0.34435274910587127,0.02192188717650456,1,0.987004946635936,0.9849598547464327,0.9859824006911844,0.0010225459447516516,0.3688212927756654,0.4095890410958904,0.38841342988808425,0.020368492291345755,2,0.9876712328767123,0.9898605830164765,0.9887659079465945,0.0010946750698820895,0.3352340406410148,0.38159883739268396,0.3575160035302304,0.023164904713603614,2,0.9864450332830714,0.9870301391008052,0.9867375861919383,0.00029255290886687213,0.5118939315568746,0.5596992771556123,0.5348681924436938,0.0238846356110853,3,0.6659623904841436,0.6155175128039465,0.6407399516440451,0.02522243884009856
0,1,"SVC-split_x_y_split_with_bag_of_words-{'C': [1e-05, 0.01, 1.0, 100.0, 10000.0, 1000000.0], 'kernel': ['linear'], 'probability': [True]}-(4 of 5)",3.8960211277008057,0.2967405319213867,4.841379880905151,0.40861010551452637,1e-05,linear,True,"{'C': 1e-05, 'kernel': 'linear', 'probability': True}",0.09529860228716645,0.10245901639344263,0.09874917709019092,0.0035778594191318053,5,0.10245901639344263,0.09529860228716645,0.09887880934030455,0.003580207053138086,0.009081823597887527,0.010497850040311745,0.009764201054012957,0.0007075489587014932,5,0.010497850040311745,0.009081823597887527,0.009789836819099635,0.0007080132212121089,0.09529860228716645,0.10245901639344263,0.09874917709019092,0.0035778594191318053,5,0.10245901639344263,0.09529860228716645,0.09887880934030455,0.003580207053138086,0.016583283460643816,0.019044426838929856,0.017769298571180606,0.0012297647715816275,5,0.019044426838929856,0.016583283460643816,0.017813855149786836,0.0012305716891430202,0.2622982882966301,0.2899369795764407,0.275617262632918,0.013810283938923416,6,0.3109129297617413,0.28618916901618446,0.2985510493889629,0.012361880372778411
1,1,"SVC-split_x_y_split_with_bag_of_words-{'C': [1e-05, 0.01, 1.0, 100.0, 10000.0, 1000000.0], 'kernel': ['linear'], 'probability': [True]}-(4 of 5)",7.165587902069092,0.553924560546875,6.04488742351532,0.14422237873077393,0.01,linear,True,"{'C': 0.01, 'kernel': 'linear', 'probability': True}",0.09529860228716645,0.10245901639344263,0.09874917709019092,0.0035778594191318053,5,0.10245901639344263,0.09529860228716645,0.09887880934030455,0.003580207053138086,0.009081823597887527,0.010497850040311745,0.009764201054012957,0.0007075489587014932,5,0.010497850040311745,0.009081823597887527,0.009789836819099635,0.0007080132212121089,0.09529860228716645,0.10245901639344263,0.09874917709019092,0.0035778594191318053,5,0.10245901639344263,0.09529860228716645,0.09887880934030455,0.003580207053138086,0.016583283460643816,0.019044426838929856,0.017769298571180606,0.0012297647715816275,5,0.019044426838929856,0.016583283460643816,0.017813855149786836,0.0012305716891430202,0.26743502391742163,0.28981283906273864,0.2782188031711228,0.011181570717688707,5,0.32802006920676846,0.3069292812956404,0.31747467525120443,0.01054539395556403
2,1,"SVC-split_x_y_split_with_bag_of_words-{'C': [1e-05, 0.01, 1.0, 100.0, 10000.0, 1000000.0], 'kernel': ['linear'], 'probability': [True]}-(4 of 5)",8.233051419258118,0.3680814504623413,5.593868970870972,1.1169707775115967,1.0,linear,True,"{'C': 1.0, 'kernel': 'linear', 'probability': True}",0.21601016518424396,0.24180327868852458,0.228439763001975,0.012888100147607141,1,0.9098360655737705,0.9250317662007624,0.9174339158872664,0.0075978503134959685,0.17786167116108506,0.20247192247039125,0.18972125243719573,0.012297056866728356,4,0.9238511765087283,0.9362150989762653,0.9300331377424969,0.006181961233768518,0.21601016518424396,0.24180327868852458,0.228439763001975,0.012888100147607141,1,0.9098360655737705,0.9250317662007624,0.9174339158872664,0.0075978503134959685,0.1802107723899545,0.2056076559339446,0.19244942858100175,0.012690115076558647,1,0.9078961701707857,0.9219594903231355,0.9149278302469606,0.007031660076174895,0.29177301369342323,0.3073863728134637,0.29929702875324526,0.007801560519099074,1,0.43314589507224355,0.4092902527693742,0.4212180739208089,0.011927821151434675
3,1,"SVC-split_x_y_split_with_bag_of_words-{'C': [1e-05, 0.01, 1.0, 100.0, 10000.0, 1000000.0], 'kernel': ['linear'], 'probability': [True]}-(4 of 5)",8.040816187858582,0.5955768823623657,5.732277750968933,0.24803078174591064,100.0,linear,True,"{'C': 100.0, 'kernel': 'linear', 'probability': True}",0.19949174078780177,0.226775956284153,0.21263989466754443,0.013633162266645746,2,0.9412568306010929,0.9479034307496823,0.9445801306753876,0.0033233000742947105,0.17473192595083972,0.21983478621661842,0.19646681318885814,0.02253664257912934,1,0.9559850660324544,0.9603770385302518,0.9581810522813531,0.002195986248898718,0.19949174078780177,0.226775956284153,0.21263989466754443,0.013633162266645746,2,0.9412568306010929,0.9479034307496823,0.9445801306753876,0.0033233000742947105,0.17359185535278362,0.2116710020881933,0.19194204324634512,0.019027088628906307,2,0.9418818544808978,0.9468616882936913,0.9443717713872946,0.002489916906396772,0.2934924083818255,0.29652566884960607,0.29495412442028196,0.0015156357403710047,3,0.439969777133079,0.4023974581137911,0.42118361762343504,0.018786159509643963
4,1,"SVC-split_x_y_split_with_bag_of_words-{'C': [1e-05, 0.01, 1.0, 100.0, 10000.0, 1000000.0], 'kernel': ['linear'], 'probability': [True]}-(4 of 5)",8.27503526210785,0.2984665632247925,4.98370623588562,0.9598398208618164,10000.0,linear,True,"{'C': 10000.0, 'kernel': 'linear', 'probability': True}",0.19949174078780177,0.226775956284153,0.21263989466754443,0.013633162266645746,2,0.9412568306010929,0.9479034307496823,0.9445801306753876,0.0033233000742947105,0.17473192595083972,0.21983478621661842,0.19646681318885814,0.02253664257912934,1,0.9559850660324544,0.9603770385302518,0.9581810522813531,0.002195986248898718,0.19949174078780177,0.226775956284153,0.21263989466754443,0.013633162266645746,2,0.9412568306010929,0.9479034307496823,0.9445801306753876,0.0033233000742947105,0.17359185535278362,0.2116710020881933,0.19194204324634512,0.019027088628906307,2,0.9418818544808978,0.9468616882936913,0.9443717713872946,0.002489916906396772,0.29273444135587173,0.3060864363226869,0.2991687141114403,0.0066716198598552896,2,0.4351131846885935,0.4055818233514904,0.42034750402004195,0.01476568066855155
5,1,"SVC-split_x_y_split_with_bag_of_words-{'C': [1e-05, 0.01, 1.0, 100.0, 10000.0, 1000000.0], 'kernel': ['linear'], 'probability': [True]}-(4 of 5)",8.14578378200531,0.6510099172592163,6.2487863302230835,0.11465609073638916,1000000.0,linear,True,"{'C': 1000000.0, 'kernel': 'linear', 'probability': True}",0.19949174078780177,0.226775956284153,0.21263989466754443,0.013633162266645746,2,0.9412568306010929,0.9479034307496823,0.9445801306753876,0.0033233000742947105,0.17473192595083972,0.21983478621661842,0.19646681318885814,0.02253664257912934,1,0.9559850660324544,0.9603770385302518,0.9581810522813531,0.002195986248898718,0.19949174078780177,0.226775956284153,0.21263989466754443,0.013633162266645746,2,0.9412568306010929,0.9479034307496823,0.9445801306753876,0.0033233000742947105,0.17359185535278362,0.2116710020881933,0.19194204324634512,0.019027088628906307,2,0.9418818544808978,0.9468616882936913,0.9443717713872946,0.002489916906396772,0.28699529836971754,0.303384417794498,0.29489314920509563,0.00818918632845969,4,0.4201027186571221,0.4031240615017021,0.4116133900794121,0.00848932857771001
0,2,"SVC-split_x_y_split_with_bag_of_words-{'C': [1e-05, 0.01, 1.0, 100.0, 10000.0, 1000000.0], 'kernel': ['linear'], 'probability': [True]}-(4 of 5)",3.9131335020065308,0.33818066120147705,5.143483996391296,0.52350914478302,1e-05,linear,True,"{'C': 1e-05, 'kernel': 'linear', 'probability': True}",0.09481668773704172,0.10164835164835165,0.09809084924292298,0.00341289282470671,5,0.10164835164835165,0.09481668773704172,0.09823251969269668,0.003415831955654966,0.008990204273423678,0.010332387392826953,0.009633462542630778,0.0006705141232241299,5,0.010332387392826953,0.008990204273423678,0.009661295833125316,0.0006710915597016379,0.09481668773704172,0.10164835164835165,0.09809084924292298,0.00341289282470671,5,0.10164835164835165,0.09481668773704172,0.09823251969269668,0.003415831955654966,0.016423213811265887,0.018758049930119754,0.017542213610163594,0.0011664135619596815,5,0.018758049930119754,0.016423213811265887,0.01759063187069282,0.0011674180594269338,0.2697019580700888,0.27020277854095054,0.2699419826275525,0.00025019477153151833,6,0.3112681802279528,0.2806529051109028,0.2959605426694278,0.015307637558524989
1,2,"SVC-split_x_y_split_with_bag_of_words-{'C': [1e-05, 0.01, 1.0, 100.0, 10000.0, 1000000.0], 'kernel': ['linear'], 'probability': [True]}-(4 of 5)",6.921055436134338,0.8084269762039185,6.2781665325164795,0.5774834156036377,0.01,linear,True,"{'C': 0.01, 'kernel': 'linear', 'probability': True}",0.09481668773704172,0.10164835164835165,0.09809084924292298,0.00341289282470671,5,0.10164835164835165,0.09481668773704172,0.09823251969269668,0.003415831955654966,0.008990204273423678,0.010332387392826953,0.009633462542630778,0.0006705141232241299,5,0.010332387392826953,0.008990204273423678,0.009661295833125316,0.0006710915597016379,0.09481668773704172,0.10164835164835165,0.09809084924292298,0.00341289282470671,5,0.10164835164835165,0.09481668773704172,0.09823251969269668,0.003415831955654966,0.016423213811265887,0.018758049930119754,0.017542213610163594,0.0011664135619596815,5,0.018758049930119754,0.016423213811265887,0.01759063187069282,0.0011674180594269338,0.2764097553041982,0.2806493736975832,0.2784416461471108,0.0021179852203097927,5,0.33753530684115063,0.3102745771718228,0.3239049420064867,0.013630364834663927
2,2,"SVC-split_x_y_split_with_bag_of_words-{'C': [1e-05, 0.01, 1.0, 100.0, 10000.0, 1000000.0], 'kernel': ['linear'], 'probability': [True]}-(4 of 5)",7.750270247459412,0.5679928064346313,4.8577563762664795,0.8118338584899902,1.0,linear,True,"{'C': 1.0, 'kernel': 'linear', 'probability': True}",0.1845764854614412,0.22527472527472528,0.20408163265306123,0.020331610635441394,1,0.9313186813186813,0.9380530973451328,0.934685889331907,0.0033672080132257087,0.14800091912369848,0.19820515810863235,0.17206193688606308,0.025080520532908927,1,0.9440751011320953,0.9567899139481026,0.950432507540099,0.006357406408003696,0.1845764854614412,0.22527472527472528,0.20408163265306123,0.020331610635441394,1,0.9313186813186813,0.9380530973451328,0.934685889331907,0.0033672080132257087,0.15481726383579714,0.19982953744632284,0.17638996639568041,0.022486771542548297,1,0.9314777024952903,0.9426042075374818,0.9370409550163861,0.005563252521095741,0.28972272190159104,0.3008961030761696,0.29507770642765635,0.0055818835547957,2,0.420790269461385,0.39554568959687275,0.40816797952912887,0.012622289932256114
3,2,"SVC-split_x_y_split_with_bag_of_words-{'C': [1e-05, 0.01, 1.0, 100.0, 10000.0, 1000000.0], 'kernel': ['linear'], 'probability': [True]}-(4 of 5)",7.762875199317932,0.9731069803237915,5.509588122367859,0.15257108211517334,100.0,linear,True,"{'C': 100.0, 'kernel': 'linear', 'probability': True}",0.17572692793931732,0.20054945054945056,0.18762343647136273,0.01240058211396993,2,0.9656593406593407,0.9633375474083439,0.9644984440338422,0.0011608966254983977,0.14811436709633177,0.18489734271255384,0.1657430743041064,0.01837566296903726,2,0.9753627969406387,0.9792341970645119,0.9772984970025753,0.0019357000619366072,0.17572692793931732,0.20054945054945056,0.18762343647136273,0.01240058211396993,2,0.9656593406593407,0.9633375474083439,0.9644984440338422,0.0011608966254983977,0.15304543096773346,0.18617112026687982,0.16892133735995107,0.01654859325491071,2,0.967016452493641,0.9681160941375934,0.9675662733156172,0.000549820821976188,0.2859868706230228,0.3007401216202229,0.29305755312859333,0.0073702783279610655,4,0.4198283542219315,0.4038999245753362,0.41186413939863387,0.00796421482329765
4,2,"SVC-split_x_y_split_with_bag_of_words-{'C': [1e-05, 0.01, 1.0, 100.0, 10000.0, 1000000.0], 'kernel': ['linear'], 'probability': [True]}-(4 of 5)",8.060123682022095,0.39418482780456543,4.783591389656067,0.9495164155960083,10000.0,linear,True,"{'C': 10000.0, 'kernel': 'linear', 'probability': True}",0.17572692793931732,0.20054945054945056,0.18762343647136273,0.01240058211396993,2,0.9656593406593407,0.9633375474083439,0.9644984440338422,0.0011608966254983977,0.14811436709633177,0.18489734271255384,0.1657430743041064,0.01837566296903726,2,0.9753627969406387,0.9792341970645119,0.9772984970025753,0.0019357000619366072,0.17572692793931732,0.20054945054945056,0.18762343647136273,0.01240058211396993,2,0.9656593406593407,0.9633375474083439,0.9644984440338422,0.0011608966254983977,0.15304543096773346,0.18617112026687982,0.16892133735995107,0.01654859325491071,2,0.967016452493641,0.9681160941375934,0.9675662733156172,0.000549820821976188,0.28989198486900913,0.2994810078585699,0.2944876456566327,0.004790386087764167,3,0.4238061233295354,0.39978505264315783,0.41179558798634663,0.01201053534318877
