,column,evaluation_method,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_kernel,param_probability,params,split0_test_accuracy,split1_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_train_accuracy,split1_train_accuracy,mean_train_accuracy,std_train_accuracy,split0_test_hit@5,split1_test_hit@5,mean_test_hit@5,std_test_hit@5,rank_test_hit@5,split0_train_hit@5,split1_train_hit@5,mean_train_hit@5,std_train_hit@5,split0_test_mrr,split1_test_mrr,mean_test_mrr,std_test_mrr,rank_test_mrr,split0_train_mrr,split1_train_mrr,mean_train_mrr,std_train_mrr,split0_test_mdcg,split1_test_mdcg,mean_test_mdcg,std_test_mdcg,rank_test_mdcg,split0_train_mdcg,split1_train_mdcg,mean_train_mdcg,std_train_mdcg
0,0,"SVC-split_x_y_split_with_one_hot_encoding-{'C': [1e-05, 0.001, 0.1, 10.0, 1000.0, 100000.0], 'kernel': ['linear'], 'probability': [True]}-(2 of 5)",7.187316536903381,1.0846408605575562,8.499376654624939,0.7582367658615112,1e-05,linear,True,"{'C': 1e-05, 'kernel': 'linear', 'probability': True}",0.3303684879288437,0.35382513661202186,0.3416721527320606,0.011720633777146194,5,0.35382513661202186,0.3303684879288437,0.34209681227043276,0.011728324341589075,0.6315120711562897,0.6543715846994536,0.6425279789335089,0.011422261985587084,6,0.7254098360655737,0.6658195679796697,0.6956147020226218,0.02979513404295203,0.5105866479235409,0.5216738764844816,0.5159295388429672,0.0055399791897592825,6,0.5705756035666311,0.5214368896793149,0.5460062466229729,0.024569356943658083,0.6098384230016878,0.6223999032696803,0.6158917498984425,0.006276621690871514,6,0.6595247337599756,0.6187654252530708,0.6391450795065232,0.020379654253452395
1,0,"SVC-split_x_y_split_with_one_hot_encoding-{'C': [1e-05, 0.001, 0.1, 10.0, 1000.0, 100000.0], 'kernel': ['linear'], 'probability': [True]}-(2 of 5)",10.497019529342651,0.7672433853149414,10.284193277359009,0.36314868927001953,0.001,linear,True,"{'C': 0.001, 'kernel': 'linear', 'probability': True}",0.3303684879288437,0.35382513661202186,0.3416721527320606,0.011720633777146194,5,0.35382513661202186,0.3303684879288437,0.34209681227043276,0.011728324341589075,0.6327827191867853,0.6680327868852459,0.6497695852534562,0.01761347666043866,4,0.7513661202185792,0.6912325285895807,0.72129932440408,0.030066795814499225,0.5296782303392639,0.564305122042528,0.5463647903963997,0.017302092979118305,5,0.6072110778946703,0.5569178204546792,0.5820644491746747,0.025146628719995567,0.6243386380794259,0.6548653640940857,0.6390493447566681,0.015253354426956077,5,0.6879604115460114,0.6463260458527789,0.6671432286993951,0.020817182846616267
2,0,"SVC-split_x_y_split_with_one_hot_encoding-{'C': [1e-05, 0.001, 0.1, 10.0, 1000.0, 100000.0], 'kernel': ['linear'], 'probability': [True]}-(2 of 5)",19.78129804134369,3.136135458946228,11.687285423278809,1.4801480770111084,0.1,linear,True,"{'C': 0.1, 'kernel': 'linear', 'probability': True}",0.4155019059720457,0.44808743169398907,0.43120473996050035,0.016282079276592056,1,0.4781420765027322,0.42312579415501905,0.45063393532887563,0.027508141173856582,0.6315120711562897,0.6680327868852459,0.6491112574061882,0.018248384077360978,5,0.744535519125683,0.6975857687420585,0.7210606439338707,0.023474875191812294,0.5302421124717447,0.5689738928756062,0.5489068019092869,0.01935319148877668,1,0.6120024688774263,0.5764746220864284,0.5942385454819273,0.017763923395498926,0.6246704222484035,0.6580700595085143,0.6407655733177919,0.016688868128720464,1,0.6903484654792637,0.6595007344268363,0.67492459995305,0.015423865526213665
3,0,"SVC-split_x_y_split_with_one_hot_encoding-{'C': [1e-05, 0.001, 0.1, 10.0, 1000.0, 100000.0], 'kernel': ['linear'], 'probability': [True]}-(2 of 5)",23.472879767417908,2.4271270036697388,11.493119955062866,0.040625572204589844,10.0,linear,True,"{'C': 10.0, 'kernel': 'linear', 'probability': True}",0.409148665819568,0.4412568306010929,0.42462146148782093,0.016043555315316586,2,0.9863387978142076,0.9911054637865311,0.9887221308003693,0.0023833329861617236,0.6353240152477764,0.6775956284153005,0.6556945358788677,0.02112194729083578,1,0.7718579234972678,0.7153748411689962,0.743616382333132,0.028241541164135797,0.5293771872069615,0.567453250223793,0.5477258890689237,0.01902554778065409,2,0.6718198019142027,0.6300483111742285,0.6509340565442157,0.020885745369987052,0.6240373908896527,0.6573078368648718,0.6400702851976583,0.016624314843301655,2,0.7358485446469071,0.7014247841713128,0.71863666440911,0.017211880237797128
4,0,"SVC-split_x_y_split_with_one_hot_encoding-{'C': [1e-05, 0.001, 0.1, 10.0, 1000.0, 100000.0], 'kernel': ['linear'], 'probability': [True]}-(2 of 5)",21.997722148895264,1.36568021774292,9.4633629322052,0.2246711254119873,1000.0,linear,True,"{'C': 1000.0, 'kernel': 'linear', 'probability': True}",0.409148665819568,0.4412568306010929,0.42462146148782093,0.016043555315316586,2,0.9863387978142076,0.9911054637865311,0.9887221308003693,0.0023833329861617236,0.6327827191867853,0.6789617486338798,0.6550362080315998,0.023074374333857776,2,0.7718579234972678,0.7115628970775095,0.7417104102873886,0.03014751320987913,0.5292872373544558,0.5664396158675187,0.5471908193633841,0.018564008370633357,4,0.6699794071070989,0.6258505284095124,0.6479149677583056,0.022064439348793263,0.623972291473387,0.6565192167246255,0.6396565240500207,0.016262791696901258,4,0.7346211096796685,0.6979324057222124,0.7162767577009405,0.01834435197872808
5,0,"SVC-split_x_y_split_with_one_hot_encoding-{'C': [1e-05, 0.001, 0.1, 10.0, 1000.0, 100000.0], 'kernel': ['linear'], 'probability': [True]}-(2 of 5)",20.765555024147034,1.664380431175232,6.926716327667236,0.6013474464416504,100000.0,linear,True,"{'C': 100000.0, 'kernel': 'linear', 'probability': True}",0.409148665819568,0.4412568306010929,0.42462146148782093,0.016043555315316586,2,0.9863387978142076,0.9911054637865311,0.9887221308003693,0.0023833329861617236,0.6327827191867853,0.6762295081967213,0.6537195523370638,0.021709149915502997,3,0.7636612021857924,0.7191867852604829,0.7414239937231376,0.022237208462654756,0.5288335072365677,0.5670213468209881,0.5472360737775788,0.019081399417060916,3,0.672739947677024,0.6278435880939369,0.6502917678854805,0.022448179791543565,0.6236813255228532,0.6569553937631091,0.6397159653858336,0.016626124788213806,3,0.736913207297344,0.6993337728650708,0.7181234900812075,0.018789717216136592
0,1,"SVC-split_x_y_split_with_one_hot_encoding-{'C': [1e-05, 0.001, 0.1, 10.0, 1000.0, 100000.0], 'kernel': ['linear'], 'probability': [True]}-(2 of 5)",6.469090580940247,0.02993619441986084,10.55219566822052,0.04343903064727783,1e-05,linear,True,"{'C': 1e-05, 'kernel': 'linear', 'probability': True}",0.10814249363867684,0.1145975443383356,0.11125740618828177,0.0032255601437605973,5,0.1145975443383356,0.10814249363867684,0.11137001898850622,0.0032275253498293827,0.3575063613231552,0.38472032742155526,0.3706385780118499,0.01359869790105469,6,0.4147339699863574,0.3944020356234097,0.4045680028048836,0.010165967181473862,0.27784165438074687,0.29016451478012756,0.28378810380322617,0.0061576785699714726,6,0.3264345120820372,0.29477680047231636,0.3106056562771768,0.01582885580486043,0.4148169966310882,0.4264414624645332,0.4204264327442647,0.005808693909538024,6,0.45575316293765705,0.4294019755555486,0.44257756924660285,0.013175593691054227
1,1,"SVC-split_x_y_split_with_one_hot_encoding-{'C': [1e-05, 0.001, 0.1, 10.0, 1000.0, 100000.0], 'kernel': ['linear'], 'probability': [True]}-(2 of 5)",9.35547947883606,1.049670696258545,12.172575235366821,1.3126568794250488,0.001,linear,True,"{'C': 0.001, 'kernel': 'linear', 'probability': True}",0.10814249363867684,0.1145975443383356,0.11125740618828177,0.0032255601437605973,5,0.1145975443383356,0.10814249363867684,0.11137001898850622,0.0032275253498293827,0.35877862595419846,0.3942701227830832,0.3759052007899934,0.017734943215815185,5,0.43519781718963163,0.41348600508905853,0.42434191113934505,0.010855906050286551,0.2815470446392841,0.29397220694522197,0.2875428602879032,0.00620879837797531,5,0.34250305058904823,0.31654914935056666,0.3295260999698074,0.012976950619240785,0.41734952074269827,0.42959364160881813,0.42325797406387394,0.0061183327751758035,5,0.4683363199612298,0.4457408630242598,0.45703859149274484,0.011297728468485008
2,1,"SVC-split_x_y_split_with_one_hot_encoding-{'C': [1e-05, 0.001, 0.1, 10.0, 1000.0, 100000.0], 'kernel': ['linear'], 'probability': [True]}-(2 of 5)",11.262145280838013,0.3573133945465088,9.707030773162842,0.13436460494995117,0.1,linear,True,"{'C': 0.1, 'kernel': 'linear', 'probability': True}",0.17557251908396945,0.17871759890859482,0.17709019091507572,0.0015715824093826896,4,0.23874488403819918,0.20483460559796438,0.22178974481808178,0.016955139220117404,0.3651399491094148,0.3942701227830832,0.37919684002633314,0.014556218309420284,4,0.4597544338335607,0.4223918575063613,0.44107314566996103,0.01868128816359968,0.2824198490239102,0.298084594939485,0.28997893971259775,0.00782760390868592,4,0.35620308403923945,0.3434562961854633,0.3498296901123514,0.006373393926888071,0.4178769472190914,0.4326841974892557,0.42502224968652424,0.007399117145997793,4,0.47643176717350255,0.46424517098042556,0.4703384690769641,0.006093298096538496
3,1,"SVC-split_x_y_split_with_one_hot_encoding-{'C': [1e-05, 0.001, 0.1, 10.0, 1000.0, 100000.0], 'kernel': ['linear'], 'probability': [True]}-(2 of 5)",11.525748491287231,1.833383560180664,11.202043056488037,0.5065507888793945,10.0,linear,True,"{'C': 10.0, 'kernel': 'linear', 'probability': True}",0.21246819338422393,0.23192360163710776,0.2218564845292956,0.009721781030226532,1,0.9522510231923602,0.94529262086514,0.9487718220287501,0.0034792011636101128,0.38676844783715014,0.4051841746248295,0.3956550362080316,0.009202256823151359,1,0.5429740791268759,0.5050890585241731,0.5240315688255245,0.018942510301351412,0.2979846774361448,0.3129605303803289,0.30521133985094856,0.0074833671528147004,1,0.4522505677237809,0.43313039524244795,0.4426904814831144,0.009560086240666482,0.4312711139412141,0.44555756019270004,0.438165100183702,0.007138873692689524,1,0.5562660022967505,0.5389736716825019,0.5476198369896261,0.00864616530712431
4,1,"SVC-split_x_y_split_with_one_hot_encoding-{'C': [1e-05, 0.001, 0.1, 10.0, 1000.0, 100000.0], 'kernel': ['linear'], 'probability': [True]}-(2 of 5)",13.363370895385742,1.7780392169952393,10.505748391151428,0.34695136547088623,1000.0,linear,True,"{'C': 1000.0, 'kernel': 'linear', 'probability': True}",0.21246819338422393,0.23192360163710776,0.2218564845292956,0.009721781030226532,1,0.9522510231923602,0.94529262086514,0.9487718220287501,0.0034792011636101128,0.37659033078880405,0.4092769440654843,0.3923633969716919,0.016333355371685825,2,0.5156889495225102,0.5089058524173028,0.5122974009699065,0.003391548552603707,0.29260013225009285,0.3099371335929881,0.3009661770060785,0.008663222513019611,3,0.4284246776399123,0.4347405966063303,0.4315826371231213,0.0031579594832089886,0.42680033098238934,0.44306439943585807,0.43464862734604476,0.008127082717053797,3,0.5361368437002189,0.5396406150848813,0.5378887293925501,0.001751885692331201
5,1,"SVC-split_x_y_split_with_one_hot_encoding-{'C': [1e-05, 0.001, 0.1, 10.0, 1000.0, 100000.0], 'kernel': ['linear'], 'probability': [True]}-(2 of 5)",14.044986486434937,2.7589187622070312,10.863848567008972,0.7163015604019165,100000.0,linear,True,"{'C': 100000.0, 'kernel': 'linear', 'probability': True}",0.21246819338422393,0.23192360163710776,0.2218564845292956,0.009721781030226532,1,0.9522510231923602,0.94529262086514,0.9487718220287501,0.0034792011636101128,0.3816793893129771,0.4038199181446112,0.3923633969716919,0.011063523848833063,2,0.5279672578444747,0.5076335877862596,0.5178004228153672,0.01016683502910759,0.2943756907280615,0.31129406952481553,0.30253972736928647,0.008454038687370637,2,0.442332120345094,0.43261155022324693,0.43747183528417044,0.004860285060923536,0.4282310366009171,0.4441357641974108,0.43590593148454443,0.007947521687990974,2,0.5473563175155739,0.5387458846446983,0.5430511010801361,0.0043052164354377975
0,2,"SVC-split_x_y_split_with_one_hot_encoding-{'C': [1e-05, 0.001, 0.1, 10.0, 1000.0, 100000.0], 'kernel': ['linear'], 'probability': [True]}-(2 of 5)",6.65720009803772,0.07379889488220215,9.97385835647583,0.19414687156677246,1e-05,linear,True,"{'C': 1e-05, 'kernel': 'linear', 'probability': True}",0.09961685823754789,0.10461956521739131,0.10204081632653061,0.002500155841834069,5,0.10461956521739131,0.09961685823754789,0.1021182117274696,0.002501353489921712,0.34227330779054915,0.34646739130434784,0.34430546412113233,0.002096037693275398,6,0.38722826086956524,0.36909323116219667,0.37816074601588096,0.009067514853684289,0.2569092772913469,0.26283640705509265,0.25978114530064045,0.002962145926963997,6,0.3064541252383461,0.280437284199943,0.29344570471914455,0.013008420519201536,0.39694749146063324,0.40323471910298886,0.3999938374413928,0.003142108658834146,6,0.43872026531749525,0.41820036350757545,0.42846031441253535,0.010259950904959902
1,2,"SVC-split_x_y_split_with_one_hot_encoding-{'C': [1e-05, 0.001, 0.1, 10.0, 1000.0, 100000.0], 'kernel': ['linear'], 'probability': [True]}-(2 of 5)",10.48033082485199,0.6533454656600952,10.1123286485672,0.01782834529876709,0.001,linear,True,"{'C': 0.001, 'kernel': 'linear', 'probability': True}",0.09961685823754789,0.10461956521739131,0.10204081632653061,0.002500155841834069,5,0.10461956521739131,0.09961685823754789,0.1021182117274696,0.002501353489921712,0.3499361430395913,0.35597826086956524,0.35286372613561556,0.003019612431934185,5,0.38858695652173914,0.3831417624521073,0.3858643594869232,0.002722597034815921,0.2539713272437569,0.27410950477199847,0.2637288642159661,0.01006426768427293,5,0.3225025173283488,0.30685433139919716,0.31467842436377297,0.007824092964575813,0.39459347102651837,0.412329472632215,0.40318708339109555,0.008863754803933898,5,0.4491845139018356,0.43774943833409613,0.44346697611796587,0.005717537783869742
2,2,"SVC-split_x_y_split_with_one_hot_encoding-{'C': [1e-05, 0.001, 0.1, 10.0, 1000.0, 100000.0], 'kernel': ['linear'], 'probability': [True]}-(2 of 5)",9.695725202560425,0.7809629440307617,8.58683693408966,0.8664692640304565,0.1,linear,True,"{'C': 0.1, 'kernel': 'linear', 'probability': True}",0.16347381864623245,0.16304347826086957,0.16326530612244897,0.0002150671691900307,4,0.22282608695652173,0.17879948914431673,0.20081278805041924,0.0220132989061025,0.351213282247765,0.3654891304347826,0.35813034891375906,0.007134506455348191,4,0.41032608695652173,0.39846743295019155,0.40439675995335667,0.005929327003165091,0.26169254363090944,0.27657403265711666,0.26890306102609607,0.0074371818845216636,4,0.3304431323312728,0.31583525810981034,0.3231391952205416,0.00730393711073124,0.4004211116280588,0.41334637987624073,0.4066837827476519,0.006459539814777601,4,0.4535691554632077,0.4396893849500557,0.4466292702066317,0.006939885256575989
3,2,"SVC-split_x_y_split_with_one_hot_encoding-{'C': [1e-05, 0.001, 0.1, 10.0, 1000.0, 100000.0], 'kernel': ['linear'], 'probability': [True]}-(2 of 5)",11.26762306690216,0.6127701997756958,9.352590322494507,1.4562766551971436,10.0,linear,True,"{'C': 10.0, 'kernel': 'linear', 'probability': True}",0.17879948914431673,0.22418478260869565,0.20078999341672152,0.022681781492601423,1,0.9605978260869565,0.9655172413793104,0.9630575337331335,0.002459707646176923,0.36015325670498083,0.38722826086956524,0.37327188940092165,0.013531020326096753,2,0.5095108695652174,0.4763729246487867,0.4929418971070021,0.016568972458215342,0.2693595046358613,0.2834808319037923,0.2762017013897765,0.007057282988114065,3,0.40894091823765466,0.3928557396964765,0.40089832896706556,0.008042589270589068,0.40845257086774595,0.4212820768361348,0.41466884235736684,0.0064116816003715466,3,0.5212234279598659,0.5078534668176342,0.51453844738875,0.006684980571115828
4,2,"SVC-split_x_y_split_with_one_hot_encoding-{'C': [1e-05, 0.001, 0.1, 10.0, 1000.0, 100000.0], 'kernel': ['linear'], 'probability': [True]}-(2 of 5)",10.896247386932373,0.23242473602294922,8.39687705039978,0.5785870552062988,1000.0,linear,True,"{'C': 1000.0, 'kernel': 'linear', 'probability': True}",0.17879948914431673,0.22418478260869565,0.20078999341672152,0.022681781492601423,1,0.9605978260869565,0.9655172413793104,0.9630575337331335,0.002459707646176923,0.36398467432950193,0.38858695652173914,0.3759052007899934,0.01229525130958145,1,0.529891304347826,0.4827586206896552,0.5063249625187406,0.02356634182908543,0.27229633247820867,0.29536941924964916,0.2834759189586433,0.011531019688578042,1,0.41185349494057155,0.3976997499741445,0.404776622457358,0.007076872483213537,0.41091623521312826,0.43046532324643616,0.4203883410673183,0.009769863964835488,1,0.5251305383033043,0.5120840021797671,0.5186072702415356,0.006523268061768561
